Imputar,Marca temporal,Fecha de nacimiento,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29
Sí,7/25/2024 13:32:57,3/31/2009,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,TARTAGAL,A VECES,ESTUDIANTES,NO,SI,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,SI,LAS NORMAS RESPECTO AL USO DE MAQUILLAJE Y/O ACCESORIOS “NO CORRESPONDIENTES” AL BINOMIO VARÓN/MUJER,DIRECCIÓN,SI,"IDENTIDAD DE GÉNERO, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,SI,SI,"DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",SI,"TALLERES, CAPACITACIONES, OTRAS"
Sí,7/25/2024 14:17:25,9/24/2007,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,TARTAGAL,NUNCA,ESTUDIANTES,NO,,INSULTOS,NO,,NO,NO,SI,NO,,,NO,"IDENTIDAD DE GÉNERO, IDENTIDAD NO BINARIE, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,NO,SI,"DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES, REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS",NO,
Sí,7/25/2024 14:17:42,2/28/2008,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,TARTAGAL,CONSTANTEMENTE,DIRECTIVOS,NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,,NO,NO,NO,NO,,,NO,NINGUNO DE LOS TEMAS ANTERIORES,,NO,NO,GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO,NO,
No,3/22/2024 20:19:04,12/1/2004,19,Demimujer,No,No,Asexual,Superior (Unversitario/Terciario),Universidad estatal,Salta,Nunca,Administrativos/Preceptores,Sí,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,Sí,Sí,Sí,"Formularios De Inscripción Al Cursado En Cualquier Carrera, En Las Cuales No Se Respeta La Lógica En La Diferencia Entre Identidad De Género, Expresión De Género Y Orientación Sexual La Cual La Última No Tendria Relevancia En Ser Notificada O Dada A Conocer Solo Las Primeras Mencionadas.",No Atravesé Situaciones De Violencia,No,,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Orientación Vocacional Para Personas Trans/No Binaries, Temas Sobrema Política, La Cultura Y El Mundo Y Su Transformación En El Tiempo Y Como Afecta Y Afectara En El Futuro A Las Diversidades.",Sí,Sí,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",Sí,"Talleres, Encuentros, Charlas Informativas, Charlas Preventivas"
No,5/23/2024 9:55:14,3/4/2005,19,Mujer cis,Sí,No,Lesbiana,Superior (Unversitario/Terciario),Universidad estatal,Salta,A veces,Estudiantes,Sí,,"Apodos, Burlas/Chistes, Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.), No Experimenté Violencia/Agresiones",No,No Reaccionaste Ante Estas Situaciones,Sí,No,Sí,Sí,"Indicar El Largo Y La Forma De Peinar El Cabello, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer","En El Aula, Preceptoria, Pasillos, Patio, Escaleras",Sí,Ninguno De Los Temas Anteriores,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Organizar Campañas De Sensibilización E Información",Sí,Charlas Informativas
Sí,7/25/2024 14:26:18,4/29/2008,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,TARTAGAL,NUNCA,ESTUDIANTES,NO,NO,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,SI,SI,"DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES, REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",SI,CHARLAS INFORMATIVAS
Sí,7/25/2024 14:26:22,3/3/2009,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SAN ANTONIO DE LOS COBRES,A VECES,ESTUDIANTES,NO,SI,Nada,NO,,NO,NO,SI,NO,,,SI,,,NO,SI,REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS,NO,
Sí,7/25/2024 14:26:48,9/15/2007,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SALTA,A VECES,ESTUDIANTES,NO,,APODOS,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,NO,NO,,EN EL AULA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA",,SI,NO,DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES,NO,
No,6/2/2024 15:51:43,6/18/2005,19,Mujer cis,Sí,No,Lesbiana,Secundaria,Universidad estatal,Isla de Cañas,Constantementes,Estudiantes,Sí,,"Burlas/Chistes, No Experimenté Violencia/Agresiones",No,"Avisar De Estas Situaciones En La Casa, Avisar De Estas Situaciones En El Establecimiento Educativo",No,,No,No,"Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer",No Atravesé Situaciones De Violencia,No,,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,Organizar Campañas De Sensibilización E Información,No,
Sí,7/25/2024 14:29:12,6/9/2008,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,TARTAGAL,A VECES,"DOCENTES, ESTUDIANTES",NO,NO,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,SI,"LAS INDICACIONES PARA EL USO DE BAÑOS (MUJER/VARÓN), UNIFORME/VESTIMENTA, INDICAR EL LARGO Y LA FORMA DE PEINAR EL CABELLO, LAS NORMAS RESPECTO AL USO DE MAQUILLAJE Y/O ACCESORIOS “NO CORRESPONDIENTES” AL BINOMIO VARÓN/MUJER",NO ATRAVESÉ SITUACIONES DE VIOLENCIA,NO,NINGUNO DE LOS TEMAS ANTERIORES,,SI,NO,DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES,NO,
Sí,7/25/2024 14:42:36,9/24/2007,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SAN ANTONIO DE LOS COBRES,NUNCA,ESTUDIANTES,NO,,Ninguna,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA,,SI,SI,REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS,NO,
Sí,7/25/2024 14:42:44,10/25/2006,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SECLANTÁS,A VECES,ESTUDIANTES,NO,,"BURLAS/CHISTES, ",NO,AVISAR DE ESTAS SITUACIONES EN LA CASA,NO,NO,SI,SI,"UNIFORME/VESTIMENTA, INDICAR EL LARGO Y LA FORMA DE PEINAR EL CABELLO, ORGANIZACIÓN EN LA FORMACIÓN/FILAS, LAS NORMAS RESPECTO AL USO DE MAQUILLAJE Y/O ACCESORIOS “NO CORRESPONDIENTES” AL BINOMIO VARÓN/MUJER",NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, INTERSEXUALIDAD, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,SI,NO,"ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",NO,"CHARLAS INFORMATIVAS, CHARLAS PREVENTIVAS, ACTIVIDADES CULTURALES, ACTIVIDADES ARTISTICAS"
Sí,7/25/2024 14:46:25,7/25/2024,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,TARTAGAL,CONSTANTEMENTE,"DOCENTES, ESTUDIANTES",NO,,"APODOS, BURLAS/CHISTES, ACOSO SEXUAL (QUE TE TOQUE, TE FOTOGRAFÍEN, ETC.)",NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,,,NO,,,SI,"IDENTIDAD DE GÉNERO, IDENTIDAD NO BINARIE, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO, INTERSEXUALIDAD, INTERSECCIONALIDAD, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, DERECHOS DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,SI,SI,"DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES, REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS",NO,
Sí,7/25/2024 14:50:11,6/14/2008,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,TARTAGAL,A VECES,"DOCENTES, PERSONAL DE MAESTRANZA, ESTUDIANTES",NO,,INSULTOS,NO,,NO,NO,NO,SI,"LAS INDICACIONES PARA EL USO DE BAÑOS (MUJER/VARÓN), UNIFORME/VESTIMENTA, INDICAR EL LARGO Y LA FORMA DE PEINAR EL CABELLO, ORGANIZACIÓN EN LA FORMACIÓN/FILAS, LAS NORMAS RESPECTO AL USO DE MAQUILLAJE Y/O ACCESORIOS “NO CORRESPONDIENTES” AL BINOMIO VARÓN/MUJER","EN EL AULA, PASILLOS, PATIO",SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL",,NO,NO,"REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS, ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",NO,
Sí,7/25/2024 14:52:13,10/7/2006,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SECLANTÁS,A VECES,ESTUDIANTES,NO,NO,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO REACCIONASTE ANTE ESTAS SITUACIONES,NO,NO,NO,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,IDENTIDAD DE GÉNERO,,NO,SI,REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS,SI,CHARLAS INFORMATIVAS
Sí,7/25/2024 14:53:45,9/1/2007,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SAN ANTONIO DE LOS COBRES,A VECES,ESTUDIANTES,NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,,NO,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,NINGUNO DE LOS TEMAS ANTERIORES,,NO,NO,"DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES, REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS, ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",NO,
No,7/25/2024 15:54:33,2/17/2005,19,Varón cis,Sí,No,Gay,Secundaria,Secundario estatal,Salta,Constantementes,Estudiantes,Sí,Sí,"Insultos, Apodos, Burlas/Chistes, Gestos Intimidantes, Exclusión De Grupos Y Actividades Escolares, Dibujos/Palabras Discriminatorias Escritas En Los Baños; Paredes; Mesas; Sillas; Pizarra; Etc., Empujones, Amenazas, Golpes, Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.), Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.)",No,"Faltar A Clases Por Miedo, No Reaccionaste Ante Estas Situaciones",Sí,Sí,No,No,-,"En El Aula, Pasillos, Patio, Baños O Vestuarios, Campo Deportivo/Gimnasio, Escaleras",No,Ninguno De Los Temas Anteriores,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva",Sí,No,Realizar Mediaciones Entre Las Partes Involucradas,No,"Charlas Informativas, Otras"
Sí,7/25/2024 14:59:46,10/3/2007,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,CONSTANTEMENTE,ESTUDIANTES,NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,SI,NO REACCIONASTE ANTE ESTAS SITUACIONES,NO,NO,NO,SI,"INDICAR EL LARGO Y LA FORMA DE PEINAR EL CABELLO, LAS NORMAS RESPECTO AL USO DE MAQUILLAJE Y/O ACCESORIOS “NO CORRESPONDIENTES” AL BINOMIO VARÓN/MUJER",NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO, INTERSEXUALIDAD, INTERSECCIONALIDAD, DERECHOS DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,NO,NO,"DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES, ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",SI,"TALLERES, CAPACITACIONES, CHARLAS INFORMATIVAS, ACTIVIDADES ARTISTICAS"
Sí,7/25/2024 15:00:59,4/5/2008,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,NUNCA,ESTUDIANTES,NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,,,NO,,,SI,"ORIENTACIÓN SEXUAL, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,NO,SI,ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN,NO,
Sí,7/25/2024 15:01:40,4/23/2009,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,A VECES,"DIRECTIVOS, DOCENTES, ESTUDIANTES",NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,,,SI,,,SI,"ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO",,NO,SI,DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES,NO,
No,7/25/2024 21:41:56,9/20/2005,19,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Salta,A veces,Estudiantes,No,No,No Experimenté Violencia/Agresiones,Sí,Pedir Un Consejo/Ayuda A Algún Compañero/A,No,Sí,No,No,,"En El Aula, Dirección, Preceptoria, Pasillos",No,,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas",No,
Sí,7/25/2024 15:02:44,4/30/2008,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SALTA,CONSTANTEMENTE,ESTUDIANTES,SI,SI,INSULTOS,SI,DENUNCIAR ESTAS SITUACIONES ANTE LAS AUTORIDADES DEL ESTABLECIMIENTO,NO,NO,SI,SI,LAS INDICACIONES PARA EL USO DE BAÑOS (MUJER/VARÓN),CAMPO DEPORTIVO/GIMNASIO,NO,IDENTIDAD DE GÉNERO,,SI,NO,REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS,NO,CHARLAS INFORMATIVAS
Sí,7/25/2024 15:04:28,11/15/2006,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,NUNCA,ESTUDIANTES,NO,NO,Nada,NO,Nada,NO,,,NO,Nose,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL",,SI,SI,Nose,NO,OTRAS
Sí,7/25/2024 15:04:29,12/12/2007,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,NUNCA,ESTUDIANTES,NO,NO,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,NO,NO,Nada,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL",,SI,SI,Nose ,NO,OTRAS
Sí,7/25/2024 15:04:48,3/12/2009,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,A VECES,ESTUDIANTES,NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,,NO,,,NO,,,SI,NINGUNO DE LOS TEMAS ANTERIORES,,NO,SI,ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN,NO,
Sí,7/25/2024 15:05:54,10/20/2006,,Varón cis,TRUE,No,Heterosexual,PRIMARIA,SECUNDARIO ESTATAL,CACHI,CONSTANTEMENTE,ESTUDIANTES,NO,NO,BURLAS/CHISTES,NO,"NO REACCIONASTE ANTE ESTAS SITUACIONES, NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION",NO,NO,NO,NO,,EN EL AULA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,NO,NO,"ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",NO,
Sí,7/25/2024 15:06:08,11/26/2007,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,NUNCA,ESTUDIANTES,NO,NO,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,NO,NO,Nada,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, IDENTIDAD NO BINARIE, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO, INTERSEXUALIDAD, INTERSECCIONALIDAD, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, DERECHOS DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL, NUEVAS MASCULINIDADES",,SI,SI,Nose,NO,OTRAS
Sí,7/25/2024 15:06:18,1/2/2008,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SALTA,A VECES,ESTUDIANTES,NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,,NO,NO,,NO,,,SI,,,SI,SI,REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS,NO,OTRAS
Sí,7/25/2024 15:06:21,3/20/2008,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SALTA,A VECES,ESTUDIANTES,NO,NO,BURLAS/CHISTES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,NO,NO,UNIFORME/VESTIMENTA,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,NO,NO,"REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",NO,OTRAS
Sí,7/25/2024 15:06:23,4/11/2007,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SALTA,A VECES,ESTUDIANTES,NO,NO,BURLAS/CHISTES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,NO,NO,UNIFORME/VESTIMENTA,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,NO,NO,"REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",NO,OTRAS
Sí,7/25/2024 15:06:26,1/10/2008,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SALTA,NUNCA,ESTUDIANTES,NO,NO,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL",,NO,SI,REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS,NO,
Sí,7/25/2024 15:06:28,6/23/2008,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,UNIVERSIDAD PRIVADA,CACHI,A VECES,ESTUDIANTES,NO,NO,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL",,NO,NO,GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO,NO,OTRAS
Sí,7/25/2024 15:06:38,9/13/2008,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,A VECES,ESTUDIANTES,NO,SI,APODOS,NO,"NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION, ",NO,NO,SI,SI,PLANILLAS DE ASISTENCIA DISCRIMINADA POR VARÓN/MUJER,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA",,SI,NO,DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES,NO,OTRAS
Sí,7/25/2024 15:07:08,10/9/2007,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SALTA,CONSTANTEMENTE,ESTUDIANTES,NO,,"INSULTOS, APODOS, BURLAS/CHISTES, CIBERBULLYING (REENVÍO DE FOTOS, MEMES, STICKERS EN WHATSAPP, ETC.)",NO,NO REACCIONASTE ANTE ESTAS SITUACIONES,NO,NO,SI,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, DERECHOS DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,SI,SI,GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO,NO,
Sí,7/25/2024 15:07:10,1/22/2007,,Varón cis,TRUE,No,Heterosexual,PRIMARIA,SECUNDARIO ESTATAL,CACHI,CONSTANTEMENTE,ESTUDIANTES,NO,SI,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,"AVISAR DE ESTAS SITUACIONES EN LA CASA, AVISAR DE ESTAS SITUACIONES EN EL ESTABLECIMIENTO EDUCATIVO, DEFENDERTE CON FIRMEZA, PERO SIN EJERCER VIOLENCIA",NO,NO,NO,NO,,EN EL AULA,SI,"IDENTIDAD DE GÉNERO, EXPRESIÓN DE GÉNERO",,SI,SI,"REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS, ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN",NO,"TALLERES, CHARLAS INFORMATIVAS, CHARLAS PREVENTIVAS"
